City,Province/Territory,Population,Land_Area,Population_Density,House_Price,Rent_Price,Crime_Severity_Index,Unemployment_Rate,Average_Income,Cost_of_Living_Index,Local_Purchasing_Power,Composite_HPI,Summer_Avg_Temp,Winter_Avg_Temp,Annual_Avg_Temp
Vancouver,BC,3108941,2878.93,1079.89,1191200,2883,81.2,5.9,90000,66.4,103.7,338.8,18.2,3.2,10.7
Victoria,BC,441491,695.29,634.97,866300,2474,71.04,3.9,85000,67.8,91.5,290.6,17.9,4.0,11.0
Calgary,AB,1778881,5098.68,348.89,578900,1927,62.32,7.7,96000,65.0,111.8,278.3,17.0,-7.0,5.0
Edmonton,AB,1631614,9416.19,173.28,392200,1560,101.12,7.5,96000,61.0,112.2,232.5,16.0,-10.0,3.0
Saskatoon,SK,367336,5864.48,62.64,397500,1490,106.71,5.1,89000,64.9,100.9,310.4,17.0,-11.0,2.5
Regina,SK,282032,4323.66,65.23,316600,1542,100.31,6.3,90000,62.5,107.4,298.4,16.5,-10.5,3.0
Winnipeg,MB,941641,5285.46,178.16,357300,1528,124.41,5.5,83000,60.1,112.4,299.0,16.0,-14.0,1.0
Toronto,ON,7106379,5902.75,1203.91,1038100,2612,59.35,8.0,97000,66.8,109.2,329.2,21.0,-4.0,8.5
London,ON,626260,2661.48,235.31,608500,1920,61.22,6.6,79500,56.3,109.8,404.8,20.0,-4.5,7.8
Halifax,NS,530167,7276.22,72.86,538600,2116,73.95,5.5,81000,63.3,101.7,308.8,17.0,0.0,8.5
Québec City,QC,900343,3499.46,257.28,480000,1219,53.2,5.5,76500,55.0,101.0,281.1,17.0,-8.0,4.5
Montréal,QC,4615154,4670.1,988.23,495000,1407,61.67,6.2,76000,58.0,95.0,284.3,19.0,-6.0,7.0
Ottawa,ON,1660269,8046.99,206.32,695209,2198,61.67,6.4,98000,61.7,131.7,282.8,19.0,-6.0,7.0
