City,Province/Territory,Population,Land_Area,Population_Density,House_Price,Rent_Price,Crime_Severity_Index,Unemployment_Rate,Average_Income,Cost_of_Living_Index,Local_Purchasing_Power,Composite_HPI,Summer_Avg_Temp,Winter_Avg_Temp,Annual_Avg_Temp
Vancouver,BC,3108941,2878.93,1079.89,1191200.0,2883.0,81.2,5.9,90000.0,66.4,103.7,338.8,18.2,3.2,10.7
Victoria,BC,441491,695.29,634.97,866300.0,2474.0,71.04,3.9,85000.0,67.8,91.5,290.6,17.9,4.0,11.0
Kelowna,BC,251756,2902.45,86.74,,2105.0,108.82,4.9,85000.0,63.6,102.5,,22.4,-2.0,9.3
Nanaimo,BC,128371,1279.28,100.35,,2087.0,106.71,4.7,,,,,17.5,3.5,10.5
Kamloops,BC,128233,5654.08,22.68,,1934.0,129.87,4.8,88000.0,,,,23.0,-4.0,9.5
Calgary,AB,1778881,5098.68,348.89,578900.0,1927.0,62.32,7.7,96000.0,65.0,111.8,278.3,17.0,-7.0,5.0
Edmonton,AB,1631614,9416.19,173.28,392200.0,1560.0,101.12,7.5,96000.0,61.0,112.2,232.5,16.0,-10.0,3.0
Lethbridge,AB,139844,2958.96,47.26,,1662.0,105.51,5.5,84000.0,,,,19.0,-6.0,6.5
Red Deer,AB,112759,104.34,1080.69,,1486.0,118.65,8.3,91000.0,,,,16.5,-9.5,3.5
Saskatoon,SK,367336,5864.48,62.64,397500.0,1490.0,106.71,5.1,89000.0,64.9,100.9,310.4,17.0,-11.0,2.5
Regina,SK,282032,4323.66,65.23,316600.0,1542.0,100.31,6.3,90000.0,62.5,107.4,298.4,16.5,-10.5,3.0
Prince Albert,SK,47929,2537.68,18.89,,,,,74500.0,,,,,,
Winnipeg,MB,941641,5285.46,178.16,357300.0,1528.0,124.41,5.5,83000.0,60.1,112.4,299.0,16.0,-14.0,1.0
Brandon,MB,61863,1232.81,50.18,,,,,76000.0,,,,16.5,-13.5,2.0
Thompson,MB,13159,16.62,791.76,,,,,96000.0,,,,15.0,-20.0,-2.5
Toronto,ON,7106379,5902.75,1203.91,1038100.0,2612.0,59.35,8.0,97000.0,66.8,109.2,329.2,21.0,-4.0,8.5
Hamilton,ON,860266,1373.15,626.49,839300.0,2175.0,58.28,6.8,86000.0,,,378.2,20.5,-3.5,8.5
London,ON,626260,2661.48,235.31,608500.0,1920.0,61.22,6.6,79500.0,56.3,109.8,404.8,20.0,-4.5,7.8
Kitchener,ON,378867,136.86,2768.28,734500.0,,,7.2,83000.0,,,373.0,19.5,-5.0,7.3
Waterloo,ON,155550,64.06,2428.19,,,,,83000.0,,,,19.0,-5.5,6.8
Kingston,ON,192389,1919.17,100.25,557800.0,1930.0,59.26,6.3,83000.0,,,272.9,18.5,-6.0,7.0
Thunder Bay,ON,133063,2550.79,52.17,,1498.0,107.7,4.3,80000.0,,,,16.0,-10.0,3.0
Trois-Rivières,QC,173288,1038.64,166.84,,1047.0,61.2,,62400.0,,,,18.0,-6.0,6.0
Sherbrooke,QC,243517,1458.1,167.01,,1028.0,53.9,5.0,65000.0,,,,17.5,-7.0,5.5
Halifax,NS,530167,7276.22,72.86,538600.0,2116.0,73.95,5.5,81000.0,63.3,101.7,308.8,17.0,0.0,8.5
Fredericton,NB,122500,6014.66,20.37,310900.0,1448.0,73.61,5.8,79000.0,,,258.5,18.0,-5.0,6.5
Moncton,NB,188036,2562.47,73.38,357800.0,1426.0,93.83,5.4,74500.0,,,263.3,17.5,-4.5,6.0
Saint John,NB,142433,3505.66,40.63,311800.0,1366.0,58.4,6.3,74000.0,,,257.7,17.0,-5.5,5.8
Charlottetown,PE,93877,1112.43,84.39,,1380.0,,,65000.0,,,,16.5,-5.0,5.8
St. John's,NL,239316,931.56,256.9,,1299.0,76.95,6.9,85000.0,,,,11.0,-1.5,4.0
Corner Brook,NL,31204,1122.58,27.8,,,,,70000.0,,,,12.0,-2.0,4.5
Gander,NL,14296,2412.67,5.93,,,,,60000.0,,,,11.5,-3.5,4.0
Yellowknife,NWT,22735,103.37,219.94,,,,,100000.0,,,,15.0,-17.0,-1.0
Whitehorse,YT,38000,8465.21,4.49,,,,,95000.0,,,,18.0,-10.0,4.0
Sarnia,ON,108636,1117.2,97.24,,,,,78000.0,,,,20.0,-4.0,7.5
Prince George,BC,98808,17650.99,5.6,,,,,85000.0,,,,18.5,-6.5,6.0
Brooks,AB,16416,18.21,901.48,,,,,70000.0,,,,20.0,-5.0,7.5
Steinbach,MB,19926,37.56,530.51,,,,,72000.0,,,,17.0,-13.0,2.0
Barrie,ON,245586,897.26,273.71,790700.0,2004.0,48.1,6.1,90000.0,,,382.5,19.0,-5.0,7.0
Québec City,QC,900343,3499.46,257.28,480000.0,1219.0,53.2,5.5,76500.0,55.0,101.0,520000.0,17.0,-8.0,4.5
Montréal,QC,4615154,4670.1,988.23,495000.0,1407.0,61.67,6.2,76000.0,58.0,95.0,510000.0,19.0,-6.0,7.0
Ottawa,ON,1660269,8046.99,206.32,695209.0,2198.0,61.67,6.4,98000.0,61.7,131.7,633100.0,19.0,-6.0,7.0
