"Income of individuals by age group, sex and income source, Canada, provinces and selected census metropolitan areas 1 2 3 4"
"Frequency: Annual"
"Table: 11-10-0239-01 (formerly CANSIM 206-0052)"
"Release date: 2025-05-01"
"Geography: Canada, Geographical region of Canada, Province or territory, Census metropolitan area"
""
""

"Age group","15 years and over 5"
"Sex","Both sexes"
"Income source","Total income"
"Statistics","Average income (excluding zeros)"
"Geography","2023"
,"2023 constant dollars"
"Canada 6","59,400"
"Atlantic provinces","51,300"
"Newfoundland and Labrador","53,600"
"Prince Edward Island","50,000"
"Nova Scotia","51,600"
"New Brunswick","49,800"
"Quebec","56,300"
"Ontario","60,800"
"Prairie provinces","61,100"
"Manitoba","54,000"
"Saskatchewan","57,600"
"Alberta","64,100"
"British Columbia","61,800"
"Québec, Quebec","59,900"
"Montréal, Quebec","58,200"
"Ottawa-Gatineau, Ontario/Quebec","66,200"
"Toronto, Ontario","63,600"
"Winnipeg, Manitoba","55,500"
"Calgary, Alberta","66,800"
"Edmonton, Alberta","62,700"
"Vancouver, British Columbia","64,200"

Symbol legend:
A, data quality: excellent
B, data quality: very good




Footnotes:
1,"Source: Centre for Statistics on Housing and Income, Statistics Canada."
2,"Data quality indicators are based on the coefficient of variation (CV) and number of observations. Quality indicators indicate the following: A - Excellent (CV between 0% and 2%); B - Very good (CV between 2% and 4%); C - Good (CV between 4% and 8%); D - Acceptable (CV between 8% and 16%); E - Use with caution (1976 to 1992: CV greater than or equal to 16%; 1993 and subsequent years: CV between 16% and 33.3% )."
3,"Estimates are based on data from the following surveys: the Survey of Consumer Finances (SCF) from 1976 to 1992, a combination of the SCF and the Survey of Labour and Income Dynamics (SLID) from 1993 to 1997, the SLID from 1998 to 2011 and the Canadian Income Survey (CIS) beginning in 2012. For more information, see Statistics Canada, 2015, "Revisions to 2006 to 2011 income data", Income Research Paper Series, Cat. no. 75F0002MIE - No. 003. Also, two previous revisions of income data are described in Cotton, Cathy, 2000, "Bridging Two Surveys: An Integrated Series of Income Data from SCF and SLID 1989-1997", Statistics Canada, Cat. No. 75F0002MIE - No. 002, and Lathe, Heather, 2005, "Survey of Labour and Income Dynamics: 2003 Historical Revision", Statistics Canada, Cat. No. 75F0002MIE - No. 009."
4,"In recent years, the Canadian Income Survey (CIS) has introduced improvements to the methods and sources used to produce income estimates. Beginning with the 2021 reference year, CIS income data were produced from the Administrative Personal Income Masterfile, a comprehensive source of personal income data generated not only from T1 tax returns, but also from associated tax slips. CIS estimates for previous years were produced using T1 tax returns only. Please consult the document <a href=https://www150.statcan.gc.ca/n1/pub/75f0002m/75f0002m2023005-eng.htm rel="external noopener noreferrer" target="_blank">Improvements to the Canadian Income Survey Methodology for the 2021 Reference Year (opens new window)</a> for more information. More improvements were introduced with the 2022 reference year. Foremost among these improvements is a significant increase in the sample size for a large subset of the CIS content. The weighting methodology was also improved and the target population for income data was changed from persons aged 16 years and over to persons aged 15 years and over. Please consult the document <a href=https://www150.statcan.gc.ca/n1/pub/75f0002m/75f0002m2024005-eng.htm rel="external noopener noreferrer" target="_blank">Improvements to the Canadian Income Survey Methodology for the 2022 Reference Year (opens new window)</a> for more information."
5,""16 years and over'' for years prior to 2022."
6,"Estimates for Canada do not include the territories."



"How to cite: Statistics Canada. Table 11-10-0239-01  Income of individuals by age group, sex and income source, Canada, provinces and selected census metropolitan areas"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110023901
