,,,,,,,,,,,,,,
" 6.0 Average Rent and Average Change in Rent for Turnover and Non-turnover Units, Two Bedrooms Only ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Privately Initiated Apartment Structures of Three Units and Over - Provinces and Major Centres,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Turnover units,,,,,,,Non-turnover units,,,,,
,,Average rent ($),,,,Year-over-year average change in rent1 (%),,,Average rent ($),,,,Year-over-year average change in rent2 (%),
Centre,,Oct-23,,Oct-24,,"Oct-23
to
Oct-24",,,Oct-23,,Oct-24,,"Oct-23
to
Oct-24",
,,,,,,,,,,,,,,
"Newfoundland & Labrador 10,000+",,"1,056",a,"1,164",a,9.1,c,,"1,074",a,"1,044",a,2.8,c
St. John's CMA,,"1,169",b,"1,299",a,9.4,c,,"1,186",b,"1,153",a,**,
"Prince Edward Island 10,000+",,"1,235",b,"1,369",b,**,,,"1,126",a,"1,152",a,3.4,d
Charlottetown CA,,"1,286",b,"1,380",b,**,,,"1,165",a,"1,161",a,**,
"Nova Scotia 10,000+",,"1,569",a,"1,954",a,28.1,a,,"1,484",a,"1,541",a,2.1,c
Halifax CMA,,"1,705",a,"2,116",a,28.3,d,,"1,590",a,"1,634",a,++,
"New Brunswick 10,000+",,"1,255",a,"1,398",a,16.4,a,,"1,139",a,"1,220",a,5.1,c
Fredericton CMA,,"1,311",a,"1,448",a,17.0,d,,"1,250",a,"1,249",a,3.3,d
Moncton CMA,,"1,286",a,"1,426",a,14.5,c,,"1,195",a,"1,295",a,4.2,d
Saint John CMA,,"1,207",b,"1,366",a,**,,,"1,064",a,"1,172",a,5.7,c
"Québec 10,000+",,"1,210",a,"1,310",a,17.4,a,,"1,005",a,"1,086",a,4.8,b
Saguenay CMA,,857,b,980,b,**,,,761,a,843,a,6.1,c
Drummondville CMA,,887,c,"1,114",c,**,,,794,b,841,b,**,
Montréal CMA,,"1,310",a,"1,407",a,18.7,a,,"1,052",a,"1,126",a,4.7,b
Ottawa-Gatineau CMA (Qué. part),,"1,375",b,"1,422",b,14.7,c,,"1,208",a,"1,324",a,++,
Québec CMA,,"1,128",a,"1,219",a,11.8,d,,"1,009",a,"1,113",a,4.3,b
Sherbrooke CMA,,941,a,"1,028",a,**,,,878,a,986,a,8.4,c
Trois-Rivières CMA,,860,b,"1,047",b,12.0,d,,764,a,839,a,5.3,d
"Ontario 10,000+",,"1,983",a,"2,107",a,34.4,a,,"1,625",a,"1,700",a,1.5,b
Barrie CMA,,"1,955",b,"2,004",a,**,,,"1,579",a,"1,618",a,++,
Belleville - Quinte West CMA,,"1,691",a,"1,806",a,**,,,"1,257",a,"1,389",a,**,
